ID_ARTISTA,familia_sonora,proba_Dinamico,proba_Quente,proba_Brilhante,proba_Pulsante
2008,Pulsante & Sombrio,0.1968,0.2211,0.1465,0.4356
17773,Brilhante & Intenso,0.2406,0.2071,0.402,0.1503
21407,Dinamico & Contrastante,0.3701,0.1856,0.243,0.2012
19701,Brilhante & Intenso,0.1669,0.2467,0.4648,0.1216
16219,Quente & Encorpado,0.1705,0.389,0.1863,0.2542
3142,Quente & Encorpado,0.1068,0.5719,0.1847,0.1366
21985,Quente & Encorpado,0.1372,0.488,0.269,0.1058
19853,Quente & Encorpado,0.1515,0.4064,0.3149,0.1272
2974,Quente & Encorpado,0.2145,0.283,0.267,0.2355
16389,Dinamico & Contrastante,0.3324,0.2041,0.2914,0.1721
17475,Dinamico & Contrastante,0.2981,0.2142,0.2024,0.2853
15592,Dinamico & Contrastante,0.3542,0.1823,0.1481,0.3154
22193,Quente & Encorpado,0.2101,0.3495,0.3161,0.1243
16183,Brilhante & Intenso,0.1953,0.2419,0.4207,0.142
3583,Brilhante & Intenso,0.2222,0.2632,0.3742,0.1404
3634,Quente & Encorpado,0.1333,0.5269,0.2149,0.125
10724,Brilhante & Intenso,0.2229,0.2066,0.4606,0.1099
11132,Brilhante & Intenso,0.2463,0.2065,0.4306,0.1166
21096,Brilhante & Intenso,0.2452,0.2375,0.3902,0.1271
22474,Pulsante & Sombrio,0.2733,0.2491,0.1908,0.2868
20746,Brilhante & Intenso,0.1911,0.2989,0.3952,0.1148
21051,Quente & Encorpado,0.2359,0.301,0.2957,0.1674
12938,Quente & Encorpado,0.1852,0.3675,0.2494,0.1978
19143,Quente & Encorpado,0.1965,0.3333,0.1567,0.3134
17949,Dinamico & Contrastante,0.3239,0.2424,0.2602,0.1735
16211,Pulsante & Sombrio,0.1802,0.2249,0.1398,0.4551
12032,Dinamico & Contrastante,0.4082,0.1384,0.1455,0.3079
18814,Dinamico & Contrastante,0.3764,0.1936,0.2664,0.1636
17713,Quente & Encorpado,0.1381,0.41,0.3232,0.1286
12210,Brilhante & Intenso,0.1543,0.2127,0.5161,0.1169
10493,Quente & Encorpado,0.1277,0.5119,0.199,0.1614
12812,Pulsante & Sombrio,0.2289,0.2494,0.1767,0.345
12760,Pulsante & Sombrio,0.2935,0.1826,0.179,0.345
13451,Quente & Encorpado,0.2444,0.3392,0.1941,0.2223
21994,Dinamico & Contrastante,0.3081,0.2523,0.2497,0.1899
10429,Pulsante & Sombrio,0.233,0.1873,0.1186,0.4611
15313,Brilhante & Intenso,0.3033,0.1859,0.3467,0.1641
18250,Brilhante & Intenso,0.1363,0.3234,0.4341,0.1063
11210,Brilhante & Intenso,0.1824,0.321,0.365,0.1316
18812,Quente & Encorpado,0.1604,0.403,0.2999,0.1368
11647,Dinamico & Contrastante,0.2957,0.2182,0.2043,0.2818
12715,Quente & Encorpado,0.2458,0.3266,0.2511,0.1765
11039,Brilhante & Intenso,0.2196,0.2132,0.452,0.1152
16761,Brilhante & Intenso,0.2352,0.2277,0.4088,0.1284
11777,Brilhante & Intenso,0.1516,0.2801,0.4657,0.1027
18502,Pulsante & Sombrio,0.249,0.1501,0.1461,0.4548
1468,Dinamico & Contrastante,0.2964,0.2526,0.1749,0.2761
10732,Quente & Encorpado,0.1459,0.4479,0.2168,0.1894
10479,Quente & Encorpado,0.219,0.3021,0.3019,0.177
15176,Quente & Encorpado,0.1422,0.4172,0.2156,0.2249
15288,Brilhante & Intenso,0.2194,0.2497,0.3288,0.202
18290,Pulsante & Sombrio,0.2727,0.2385,0.176,0.3128
19936,Brilhante & Intenso,0.2016,0.2549,0.3794,0.1641
17153,Dinamico & Contrastante,0.3523,0.2008,0.2868,0.16
13605,Brilhante & Intenso,0.2968,0.2367,0.3062,0.1603
