,LDA_Component_1,LDA_Component_2,LDA_Component_3,LDA_Component_4,LDA_Component_5,LDA_Component_6,LDA_Component_7
cat__artist_name_ALEXANDRE OLIVEIRA,-0.013774982631268189,-0.02324266973686655,0.09240474547104235,0.07927673170386802,-0.2069072671789223,-0.24854957356594692,-0.1565502512667337
cat__artist_name_ALL BAND,0.08772403679768585,0.14561490971658286,-0.0036736746997927507,0.042915844377418036,-0.08444897404098806,-0.08521272766710399,0.011220992713652922
cat__artist_name_ALLE FERRAZ,-0.06003977554864352,-0.042595904278728565,-0.06733339895962095,-0.06173157719798529,0.11617689120580767,0.06401321209313168,-0.007044595169299967
cat__artist_name_AMILTON NOVAIS,0.005701261254941957,0.2371054227624094,0.036666288524641516,0.08093038033007459,0.011185682499680941,-0.04759291195407536,-0.014342702158231479
cat__artist_name_ANAGAB,-0.04330473900211776,-0.05330648091594402,0.0032845133678734203,0.14634865344417058,-0.014220302740931147,0.12129941711503113,-0.06524252937598783
cat__artist_name_ANDERSON CORPO,-0.04231101674849917,-0.04854852105568293,0.014348034110976612,0.007481967536325493,0.23061033022856958,0.1308663173247671,-0.023658732316348317
cat__artist_name_ANDERSON LIRAH,0.07535012833441282,-0.05665663704526244,-0.26049176154687054,-0.2621370569284723,0.1980341943994909,0.19175712394247044,0.12832274191615495
cat__artist_name_ANDERSON MORAES,-0.056545678217782516,0.20494972530572467,0.0029347937785954912,0.03416835760349207,0.05444983869593149,-0.08168646212148734,-0.024040265196922282
cat__artist_name_APRESENTAÇÃO MUSICAL SOLO,-0.13484637363996757,-0.10956255754254995,0.015980138741532764,0.5376527684882803,0.22530641092144882,0.39325048023612846,-0.12146592593412199
"cat__artist_name_APRESENTAÇÕES DE PIANO, AO VIVO",-0.03615805658718291,0.011450310690794682,-0.016867420207164273,0.0769777997825474,-0.08966009961071593,0.14607744997825367,-0.03289323981461178
"cat__artist_name_APRESENTAÇÕES DE PIANO, AO VIVO NO COCO BAMBU SJC",0.12233432483464468,-0.06543777055913107,-0.33400074991155343,-0.15318995051858625,0.11189103612484236,0.21107435952563594,-0.22949589824696554
"cat__artist_name_APRESENTAÇÕES, AO VIVO DE PIANO",0.12137275403625368,-0.0405705540471419,-0.08222976985596087,-0.09190151860225161,-0.19558210618947858,-0.06356020017867386,-0.01907091667294111
cat__artist_name_ARYA,-0.04783937531879385,-0.07492865571059924,-0.047468776341406525,-0.009414700849323556,-0.08741866037584227,-0.46519810020491753,-0.04663054633881295
cat__artist_name_AS TEXANAS,-0.040460531160894056,-0.05007441380624544,0.024005541916955763,-0.00216386134445766,0.024535339507237946,-0.04991493330067323,-0.05575308698555832
cat__artist_name_AUEBA,0.011119217472352262,0.0264590333494749,-0.11789082535366138,-0.14986766613150582,0.03601969403459717,-0.10151111461541727,0.04511731646949077
cat__artist_name_Abba The Music,-1.366809488189279,-0.19881913933488157,0.013689831676293788,0.09978829209368678,-0.003681542278082209,0.04543179840233717,0.09303055701472993
cat__artist_name_AcoustiCon - Pop Rock Internacional e Nacional,-0.04073276476710548,-0.03888192157844605,-0.1139962950873378,-0.040086082953707386,-0.06814965526873092,-0.01137781224307785,-0.0942330284671826
cat__artist_name_Acoustic Classic & Pop Rock,-0.07684870921989449,-0.08574353005763578,0.03228128996425781,0.08779498687530486,-0.07437503331026626,-0.4014246431720116,-0.12513454210063565
cat__artist_name_Acoustic Duel,0.017156932438788942,-0.09563457798138254,-0.03615656854213386,-0.11555081820270735,-0.1329782032949464,0.009513955174859177,0.000843024102851839
